video_length_sec,editing_quality_score,posting_hour,hashtag_count,follower_count,caption_length,engagement_rate
39,4.6,14,11,79348,269,7.13
78,5.3,20,14,83386,109,10.31
66,1.7,14,24,123829,237,4.57
35,5.8,8,9,70516,24,3.91
73,4.9,20,29,28580,140,10.58
49,8.2,8,24,110398,116,7.45
52,9.8,9,30,2556,24,11.71
69,6.0,19,6,70526,78,10.13
64,3.9,20,19,92647,67,7.75
13,1.4,8,4,115194,172,3.86
35,9.3,2,0,20249,11,7.3
35,9.3,19,29,105561,287,14.73
51,3.3,10,16,16282,127,6.38
37,7.3,5,2,861,95,6.17
69,1.7,1,12,3120,91,1.73
82,2.5,6,13,79761,140,3.75
69,3.0,17,23,9146,30,6.48
8,3.7,1,29,16509,19,3.42
34,10.0,16,17,55430,145,10.44
69,7.3,10,3,112022,159,5.66
84,4.5,11,17,112540,42,6.05
10,7.6,18,29,59521,253,10.08
77,9.2,21,4,132228,129,10.78
79,9.6,23,24,74331,59,11.86
34,1.5,6,15,26163,150,3.78
16,4.6,19,0,101957,286,9.98
69,2.0,5,20,99459,4,0.8
44,4.0,20,13,39263,265,11.49
58,2.5,23,14,114425,129,8.72
51,6.8,0,8,116600,266,8.65
31,4.5,16,14,81018,177,9.62
86,3.1,10,16,4903,252,6.97
66,3.4,21,24,72299,55,8.59
39,4.2,17,23,31785,82,9.64
59,3.3,20,3,43785,98,10.54
69,5.1,16,11,27158,148,6.82
65,1.3,6,26,26217,155,2.95
59,3.5,16,25,124877,189,9.01
19,4.7,19,4,143473,262,9.83
46,6.4,8,28,29626,79,8.69
9,3.4,16,4,17978,251,5.84
10,2.2,19,10,42429,96,8.82
63,1.7,21,27,86852,259,9.35
88,9.5,21,5,128467,259,11.34
66,4.7,7,6,126703,102,1.08
9,6.2,16,23,85078,39,7.3
9,9.3,6,30,57256,272,9.28
61,1.7,0,13,20175,100,2.19
8,8.9,12,23,142833,220,6.6
26,6.0,22,10,88597,123,9.39
9,2.5,18,29,33342,230,9.32
60,4.7,23,12,27116,177,8.48
51,8.0,18,1,64524,62,11.44
39,5.3,16,24,126132,115,8.69
77,9.9,12,6,135920,190,6.83
39,4.4,15,19,96259,61,6.52
75,7.7,7,3,98517,255,7.4
62,4.5,18,26,35246,6,7.75
82,8.5,17,7,101659,154,10.86
63,6.1,0,19,46093,91,6.33
24,1.6,13,28,101720,13,5.28
45,1.3,18,30,126018,228,8.7
31,2.2,14,21,61472,85,5.97
76,1.1,17,20,67849,132,5.79
77,1.7,1,18,64874,182,1.52
18,7.2,21,12,145032,61,10.77
23,5.8,16,13,86675,218,7.49
80,7.7,17,9,61567,245,10.89
66,9.2,5,10,143860,229,5.96
77,6.3,18,1,121950,78,8.66
87,7.5,3,24,118354,148,5.97
10,7.8,0,25,44938,137,6.12
27,4.4,7,8,33597,64,5.22
66,3.2,22,16,82389,12,6.46
43,2.8,6,25,76567,212,6.33
26,3.3,2,2,120785,241,2.75
74,3.5,9,23,76819,212,4.01
26,2.9,9,5,111653,180,6.12
27,8.9,18,4,20016,172,10.72
78,7.8,13,4,137548,159,5.58
59,1.4,1,21,79730,163,5.56
40,3.4,0,14,109056,187,5.27
47,1.2,22,22,71835,190,9.29
46,5.5,22,16,108003,255,11.78
89,5.3,17,8,36146,182,8.76
8,8.5,6,2,55404,116,7.13
18,3.8,7,19,15763,281,5.6
64,8.3,0,25,92524,195,6.09
57,9.7,22,16,10047,33,14.26
30,1.8,2,28,26355,51,5.93
38,8.1,23,26,79871,111,11.3
49,6.3,22,9,117091,251,10.51
14,5.3,7,2,83510,81,5.45
23,4.8,21,17,149581,231,10.01
67,8.1,14,17,131891,226,5.31
9,6.8,4,29,34907,232,7.29
8,8.2,2,16,81737,220,5.92
55,9.1,18,23,91355,41,12.91
19,6.6,0,2,481,20,6.05
76,9.8,14,2,132330,41,7.65
44,6.5,7,5,76460,112,7.25
39,6.7,1,12,140472,104,5.94
16,6.0,2,23,64378,191,6.36
26,1.8,23,28,34197,16,6.97
55,7.5,13,14,119473,119,9.61
87,5.9,23,24,132511,128,9.14
10,5.1,13,8,127145,129,4.28
27,9.2,10,3,45472,59,8.39
31,3.7,15,13,89593,47,5.97
61,5.7,3,4,61412,28,4.58
40,7.3,19,1,146670,96,11.67
31,8.2,4,10,120230,9,8.49
82,5.1,21,8,56703,241,8.95
79,8.6,20,23,137910,231,11.16
43,7.9,13,2,6770,276,9.16
45,1.6,22,26,68985,283,9.2
32,1.4,15,27,9310,202,7.61
25,6.6,17,28,79341,246,8.86
89,4.1,6,8,12315,289,3.07
73,2.9,9,2,39262,263,2.04
61,6.2,6,24,23111,213,6.51
42,4.1,0,1,104261,199,7.1
87,5.8,22,11,32756,78,8.55
68,5.1,20,9,128535,172,8.79
48,6.3,18,8,2169,68,11.46
40,4.6,15,14,43953,86,9.04
75,7.3,18,7,135742,100,8.22
40,2.6,3,24,122063,7,4.46
21,7.3,17,4,10425,199,11.32
28,4.7,1,10,123208,86,5.26
55,8.9,0,26,106023,42,8.77
27,5.6,14,1,13869,108,8.03
15,9.8,4,23,124598,151,4.6
14,6.4,19,27,110877,16,10.85
74,3.0,10,14,48520,132,2.46
24,8.4,9,5,146849,147,4.73
40,4.1,1,7,125554,276,6.15
55,4.1,2,26,88209,231,8.21
83,1.3,22,4,28825,227,6.44
66,5.9,22,15,24289,138,10.17
29,5.8,11,25,36687,210,8.66
37,4.2,19,17,110648,27,11.12
45,9.0,4,5,50338,50,9.48
58,2.2,4,4,54261,260,6.14
61,4.0,5,27,101576,260,4.39
15,3.9,8,15,79334,7,1.88
34,1.8,1,12,47255,137,3.52
34,5.3,20,27,19708,37,9.97
28,7.2,11,4,110369,110,8.8
37,5.6,2,12,8325,219,6.42
35,2.4,19,16,36259,222,9.65
71,4.4,21,17,103609,135,9.17
76,1.0,11,7,148359,255,2.42
68,8.8,23,12,5904,48,11.71
55,1.8,16,29,111479,291,8.08
26,6.4,9,28,118716,77,6.39
11,9.9,23,18,114244,104,10.08
42,5.8,13,25,29365,168,6.57
71,9.3,22,2,67403,216,10.09
56,3.1,16,23,4314,118,9.11
24,7.8,17,7,36521,189,10.04
51,5.8,18,1,73497,254,10.48
37,7.5,16,7,96852,265,8.8
53,1.6,13,26,99504,148,5.88
13,2.3,8,12,17972,163,1.77
44,2.2,7,12,103954,139,5.21
31,7.2,1,0,3912,257,7.22
53,8.6,12,5,132639,268,7.62
60,7.7,6,23,115342,180,5.54
67,1.3,8,18,91936,159,1.38
70,8.8,21,15,52124,287,11.98
39,4.2,21,7,3926,287,12.49
40,4.6,10,27,89352,225,4.46
74,1.9,13,0,27923,10,2.74
25,7.6,3,26,127169,9,6.16
32,2.6,12,26,100694,270,6.39
61,6.1,1,15,140380,272,5.33
65,8.6,22,8,35843,182,9.69
74,1.8,4,12,104096,152,1.85
53,5.8,10,10,140199,123,5.91
31,3.1,5,12,93880,113,5.36
39,4.1,17,24,96746,277,9.89
54,5.3,20,20,80173,212,14.17
30,4.2,9,9,63649,171,4.98
73,6.8,3,3,110034,287,4.43
34,5.3,8,30,25737,173,4.88
9,6.3,5,26,77776,112,3.41
24,7.6,1,5,107722,121,4.39
40,6.0,16,27,22812,31,9.84
16,6.3,4,6,6671,221,6.47
50,6.1,5,4,31548,118,4.89
55,4.4,11,10,1377,38,7.63
46,4.0,22,12,136032,267,9.78
49,9.1,20,25,32979,232,14.47
33,6.5,9,24,21836,17,8.22
57,3.2,21,18,82089,148,11.57
32,5.5,20,30,53751,148,11.01
31,4.0,5,22,142828,125,3.97
20,9.4,7,9,142835,237,5.14
67,1.1,1,9,47019,134,0.98
14,3.0,11,10,73970,150,3.64
64,4.3,12,20,78914,235,3.78
43,5.4,20,29,24796,223,11.98
52,8.7,6,6,64306,202,8.53
27,1.8,9,30,59382,255,4.32
72,8.3,12,17,87363,85,5.65
15,1.5,16,3,39510,149,5.8
23,8.6,20,1,56288,234,12.55
21,1.5,13,13,129003,21,2.34
83,1.2,1,12,140178,284,3.91
22,7.3,21,28,37114,268,12.06
73,10.0,10,11,110550,257,7.33
39,9.1,0,6,45579,28,8.2
70,6.2,18,1,46613,212,9.32
58,9.3,20,12,137284,282,15.46
32,1.0,3,13,7351,49,3.54
65,9.8,18,26,57916,94,10.62
70,5.4,20,16,93947,87,9.46
69,7.5,10,8,144739,43,3.69
29,8.4,7,16,122199,277,7.88
65,7.5,10,7,114993,170,5.43
65,5.8,3,30,108377,188,4.85
56,5.3,16,1,12489,183,9.65
59,8.5,6,27,86565,2,6.36
49,2.8,7,23,114214,190,4.85
77,9.7,2,12,72788,117,6.56
22,7.4,21,2,63846,18,10.53
61,2.8,1,15,3854,22,1.69
67,7.6,22,5,18943,29,10.75
15,5.8,14,18,48568,294,6.61
60,7.4,23,29,137713,107,10.41
67,7.9,21,6,119935,280,11.18
12,1.8,21,9,120091,127,6.67
75,5.6,4,8,108171,228,6.42
13,9.4,23,1,12349,110,9.25
54,3.9,0,30,100302,135,7.28
62,6.3,3,27,59389,185,6.45
47,4.3,14,27,71231,143,7.05
59,5.1,19,14,42868,71,12.92
23,5.9,18,29,144945,128,9.99
20,5.9,2,4,88404,260,5.89
37,2.8,19,28,140707,2,9.38
26,7.2,10,21,37584,103,6.64
24,1.8,16,3,82129,223,7.26
70,2.2,12,19,128159,9,3.58
26,1.0,10,3,76353,230,1.32
65,2.1,1,17,75588,218,4.26
62,5.3,8,3,31601,65,1.92
69,6.5,1,26,119703,111,6.16
30,8.1,20,16,128034,12,12.78
16,2.0,8,11,34284,85,1.76
19,8.7,8,21,110841,233,7.04
8,7.7,7,16,105311,89,4.48
65,4.7,16,9,138499,53,6.06
8,9.4,0,21,36241,11,6.27
41,9.9,10,0,89120,208,9.47
55,2.8,7,21,65881,13,6.48
8,4.4,9,25,81771,120,5.94
23,9.3,6,23,127756,19,6.52
68,7.5,2,26,26360,74,5.42
71,1.4,2,17,17833,242,0.91
70,8.0,17,17,17214,222,9.2
